img_name,img_shape,class
clothes-bluzy_BA007EWDXAQ4_8606972.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_BA007EWDXAQ6_8606164.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA007EWIHEJ5_11079951.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA055EWJCHC1_10957220.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA067EWIDFZ3_10907571.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA067EWJHVX2_11558864.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA067EWKBHJ1_12563781.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA067EWRAK82_4959602.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_BA067EWRBH28_4471230.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_BA067EWVCO04_5322483.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_DO005EWAQLE8_6222249.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_DO005EWBEUS1_6528357.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_DO005EWCEPF1_6992126.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_DO005EWCIIK3_7083018.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_DO028EWFDUQ6_8703212.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_FO019EWAPZP2_6724130.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_GA020EWIDWE2_10764826.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_GA021EWBTMX3_7869455.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_GE002EWMIZA9_13104112.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_GL008EWADAV9_6755693.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_IV006EWCQHS5_7228574.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_IV006EWEKSG1_8731837.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_IV006EWINHW3_10440490.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_JO024EWKKJV9_12800107.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_KO008EWEXSE4_8820970.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_KO008EWEXSL9_8821109.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_KO008EWIHHZ3_10335009.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_KO008EWJMRM1_11366171.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_KO008EWKWWC1_12297692.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LA932EWHZRI9_10985972.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LA932EWHZRJ0_10985976.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAGKK8_6067599.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_LO019EWAGKL1_6067605.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAGKL9_6069879.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAIFC9_6086986.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_LO019EWAIRU4_6091706.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAIRU7_6091715.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAJCP9_6091067.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAJCQ0_6091070.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAJOM8_6095163.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAJON0_6099327.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_LO019EWALIG1_6114334.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAQDR8_6214767.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWAZJQ7_6425309.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWBCVG4_6501393.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWCCPT4_6970262.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO019EWCCPT5_6970265.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_LO040EWAIRV2_6095172.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWKLHA1_11830589.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWKVSX8_12271237.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWLTTL7_12771060.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWMPDL7_13380445.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWMPED5_13379178.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWMRFR3_14021625.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA002EWMRVA4_13615373.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MA101EWMHBB9_13242371.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA178EWIBWL2_10318637.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MA178EWIZHE2_10881617.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MA178EWMBMR3_13408996.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XM08QJA_17929149.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XM08QJB_17877819.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00MZT_11770547.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00NHW_11779176.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00NHY_11779180.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00NHZ_11779184.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00NI1_11779186.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MP002XW00NIP_11757214.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00OQQ_17489473.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00P6X_11182028.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MP002XW00P70_11182032.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00P72_11182036.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MP002XW00P74_14522153.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00P76_14522157.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00P8C_11117603.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00PDL_11186345.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MP002XW00Q7D_19125711.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QBD_19157357.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QBF_19157361.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QID_19076288.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QIN_19076289.jpg,"(866, 600, 3)",bluzy
clothes-bluzy_MP002XW00QIX_19076183.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QK0_19077117.jpg,"(66, 46, 3)",bluzy
clothes-bluzy_MP002XW00QT7_19364379.jpg,"(66, 46, 3)",bluzy
